id,topic,type,question,option1,option2,option3,option4,correct_option,correct_option_number,predictions
22402913,Anxiety,Preventive,Which type of training is proposed to help manage anxiety and improve performance in basketball players?,Cognitive-behavioral therapy,Physical endurance training,Nutritional supplementation,Heart rate variability biofeedback,Heart rate variability biofeedback,4,1.0
35360286,Anxiety,Diagnostic,What cognitive impairments are observed in children with subthreshold Attention-Deficit/Hyperactivity Disorder compared to typically developing peers?,Increased impulsivity,Reduced cognitive control capacity,Enhanced attention span,No differences found,Reduced cognitive control capacity,2,2.0
33714167,Anxiety,Preventive,What is a recommended approach to mitigate the mental health impacts of the COVID-19 pandemic on populations identified as vulnerable?,Use traditional evidence-based therapies,Increase in-person consultations,Implement electronic patient triage,Develop scalable preventive interventions,Develop scalable preventive interventions,4,1.0
28071216,Anxiety,Factoid,Which pathway is suggested to control panic-related behaviors by modulating serotonin release?,Cingulate-Insula pathway,Hippocampus-Cortex pathway,Prelimbic-Dorsal Raphe pathway,Amygdala-Striatum pathway,Prelimbic-Dorsal Raphe pathway,3,2.0
34978367,Anxiety,Preventive,Which proactive strategy is recommended to help youth cope with anxiety related to climate change?,Limit networking with peers,Engage in individual efforts,Focus on local environmental impacts,Ignore environmental issues,Focus on local environmental impacts,3,1.0
34604038,Anxiety,Prognostic,How does psychosocial stress influence tumor growth and anxiety-related behavior in older men with prostate cancer?,Increases tumor infiltration of T-cells,Impairs immune response,Decreases anxiety-related behavior,Has no effect on tumor development,Impairs immune response,2,1.0
33168460,Anxiety,Preventive,What communication strategy could potentially reduce patient anxiety and improve information recall during consultations for advanced cancer care?,Use of visual aids,Clinician-expressed empathy,Written summaries of discussions,Increased consultation time,Clinician-expressed empathy,2,2.0
34589779,Anxiety,Diagnostic,Which behavioral changes have been observed in female mice with excisional skin wounds that suggest a link to anxiety-like behaviors?,Decreased physical activity,Enhanced social interactions,Impaired recognition memory,Increased appetite,Impaired recognition memory,3,2.0
27940416,Anxiety,Diagnostic,What interpersonal factors contribute to the relationship between social anxiety and suicidal ideation?,Depressive symptoms,Substance abuse,Thwarted belongingness and perceived burdensomeness,Social support deficits,Thwarted belongingness and perceived burdensomeness,3,1.0
35678796,Anxiety,Preventive,What type of support is suggested to be essential for inflammatory bowel disease patients during the COVID-19 pandemic to help mitigate psychological stress?,Physical therapy,Nutritional support,Financial support,Psychological support,Psychological support,4,4.0
