srno,topic,type,question,option1,option2,option3,option4,correct_option_text,as_response,preethi ma'am response_as,mg_response,preethi ma'am response_mg,correct_option,predictions
1,Anxiety,Prognostic,What impact does a positive autism identity have on social anxiety in autistic young people?,It only affects physical health,It increases social anxiety,It may alleviate social anxiety,It has no effect,It may alleviate social anxiety,Y,Y,Y,Y,3,3
2,Anxiety,Factoid,"In comparison to clinically anxious children without autism spectrum disorders, which type of anxiety disorder was reported to be more prevalent in children with high-functioning autism?",Panic disorder,Specific phobias,Generalized anxiety disorder,Social anxiety disorder,Specific phobias,Y,Y,Y,Y,2,3
3,Anxiety,Diagnostic,What role does the anterior cingulate cortex play in the regulation of anxiety-like behavior in adult mice?,It enhances cognitive functioning,It increases neurogenesis,It modulates anxiety-like behavior,It reduces symptoms of depression,It modulates anxiety-like behavior,Y,Y,Y,Y,3,2
4,Anxiety,Diagnostic,What psychological factor was identified as a significant predictor of mental well-being among FIFO workers during COVID-19 restrictions?,Work experience,Age,Travel quarantine,Employment status,Travel quarantine,Y,Y,Y,Y,3,3
5,Anxiety,Factoid,Which receptor activation has been shown to effectively counter opioid-induced respiratory depression?,Serotonin,Dopamine,Vasopressin,Oxytocin,Oxytocin,Y,Y,Y,Y,4,3
6,Anxiety,Diagnostic,What type of anxiety was more frequently reported by parents of preschool children during the COVID-19 curfew?,Performance anxiety,General anxiety,Separation anxiety,Social anxiety,Separation anxiety,General anxiety,Ans- Separation anxiety,Y,Y,3,2
8,Anxiety,Factoid,Which selective serotonin reuptake inhibitor is noted to be effective in treating social anxiety disorder in a patient with pervasive developmental disorder?,Paroxetine,Escitalopram,Fluvoxamine,Sertraline,Fluvoxamine,Y,Y,Y,Y,3,1
9,Anxiety,Preventive,What role do early anxiety symptoms play in the long-term clinical outcomes of individuals experiencing first-episode psychosis?,Aid in early diagnosis,Promote remission,Worsen clinical status,Predict better functioning,Predict better functioning,Y,Y,Y,Y,4,1
10,Anxiety,Prognostic,How might poor sleep quality influence anxious reactivity in individuals with a history of PTSD?,It only affects those without PTSD,It increases anxious responses to trauma cues,It has no effect on anxious responses,It decreases overall anxiety,It increases anxious responses to trauma cues,Y,Y,Y,Y,2,1
11,Anxiety,Preventive,What strategy can higher education institutions adopt to alleviate the impact of anxiety on e-learning intentions among college students?,Decrease course workload,Increase face-to-face interactions,Focus on physical education programs,Improve perceived usefulness of e-learning,Improve perceived usefulness of e-learning,Y,Y,Y,Y,4,2
12,Anxiety,Preventive,What psychological condition is associated with unexpected explicit recall during general anaesthesia?,Anxiety,Post-traumatic stress disorder,Depression,Obsessive-compulsive disorder,Post-traumatic stress disorder,Y,Y,Y,Y,2,2
13,Anxiety,Diagnostic,What type of behavioral intervention is suggested to decrease anxiety levels in adolescent rats?,Increased cage size,Handling,Isolation,Medication,Handling,Y,Y,Y,Y,2,4
14,Anxiety,Diagnostic,What aspect of anxiety is significantly correlated with experienced sensory pain during labor?,State Anxiety,Trait Anxiety,Anxiety Sensitivity,Postpartum Anxiety,Anxiety Sensitivity,Y,Y,Y,Y,3,3
15,Anxiety,Diagnostic,What condition is commonly associated with heightened sleep disturbances in adolescents admitted to psychiatric facilities?,Hyperarousal,Self-harm behavior,Dysthymia,Poor sleep hygiene,Hyperarousal,Y,Y,Y,"Self-harm behavior.      Self-harming behavior is commonly associated with increased sleep disturbance in adolescents admitted to psychiatric facilities. Adolescents who self-harm often have emotional distress, anxiety, and depression, which disrupt their sleep patterns. These sleep disturbances may be the result of underlying psychological problems related to self-harm, such as overexertion, trauma, or emotional dysregulation. Treating self-harming behavior and related psychological factors can help improve sleep quality in affected individuals.",1,2
16,Anxiety,Diagnostic,What relationship does differentiation of self have with psychological adjustment post-separation?,Low differentiation enhances conflict,High differentiation causes anxiety,High differentiation is linked to better coping,Separation has no effect on differentiation,High differentiation is linked to better coping,Y,Y,Y,Y,3,1
17,Anxiety,Factoid,Which hormone was identified as being marginally associated with elevated anxiety scores in adolescents?,Testosterone,Thyroxine,Insulin,Prolactin,Testosterone,Y,Y,Y,Y,1,2
18,Anxiety,Diagnostic,What underlying disorders are often associated with social anxiety disorder that can further impair functionality?,Psychosis,Personality disorders,Bipolar disorder,Mood and substance abuse disorders,Mood and substance abuse disorders,Y,Y,Y,Y,4,1
