id,question,option1,option2,option3,option4,correct_option_number
e9d2479e-dfdd-400f-acc5-0abdb0e3476d,Obsessive Compulsive Disorder is NOT associated with,Repetitive behavior,Thought insertion,Anxiety,Paranoid behavior,2
44173267-9301-4907-925e-d670d49c34d5,Which is not a feature of cocaine poisoning:September 2011,Hallucination,Agitation,Hypothermia,Stimulation of libido,3
6f5f813c-558e-44e1-ba7a-b999d2f625dd,One of the following drug abuse produces a psychosis closely resembling paranoid schizophrenia-,Barbiturates,Amphetamines,Opioids,Benzodiazepines,2
8cadb067-b35b-4389-ad2f-ce1e5562f67d,Methylphenindate is drug of choice for,Obsessive compulsive disorder,ADHD (attention deficit hypersensitivity disorder),Enuresis,Autism,2
9f9d7f6a-85a8-4e07-9b48-512cc54820d8,"A 34 year old housewife repos a three month history of feeling low, lack of interest in activities, lethargy, multiple body-aches, ideas of wohlessness, decreased appetite and disturbed sleep with early morning awakening. She is likely to benefit form:Anti-psychotics",Anti-psychotics,Anti-depressants,Anxiolytics,Hypno-sedatives,2
13e7c6ac-8f98-4019-bf27-dda87caaf9e1,Drug of choice for panic disorders is -,Nitrazepam,Imipramine,Diazepam,Clonidine,2
7947af84-82b1-48c7-9cb7-61d80f3e017e,All the following effects are seen with cocaine except,Black pigmentation of tongue,Nasal septal perforation,Freebasing,Sympatholytic effect,4
837918e2-7daa-46a9-94d6-8901daebb61e,Delirium tremens seen in: DNB 10; NEET 13,Alcohol withdrawal,Alcohol intoxication,Opioid intoxication,Opioid withdrawal,1
0911e4dd-8316-40ae-bd30-b69ace713a4b,An 18 year old boy came to the Psychiatry OPD with a complaint of feeling changed from inside. He described himself as feeling strange as if he is different from his normal self. He was very tense and anxious yet could not point out the precise change in him. This phenomena is best called as:,Delusional mood,Depersonalization,Autochthonous delusion,Over valued idea,2
da73e990-c0bf-44d6-844d-6f6f5589b060,Heavy smokers need the following intervention to aid smoking cessation Except,Nicotine replacement,Pharmacological antiaddiction medications,Cessation programmes,Radiofrequency ablation,4
54c93e40-5411-4f42-862b-a1b610f2925b,Delusions are seen in all the following except -,Obsessive compulsive disorder,Depression,Mania,Schizophrenia,1
f813914d-98b1-48ef-b883-a12e8666a898,Characteristic feature of Schizoid personality is,Conversion reaction,Not concerned with disease,Checks details of all things,Emotional coldness,4
ec04159d-8c92-4983-8507-d9b0f8b8400c,"A 28 year old male admitted in the hospital with a history of vague pains. His examination revealed many scars of previous surgeries. He was very curious about knowing his diagnosis and was persistently asking for various diagnostic procedures and biopsy. He gave the past history of gall stone & appendicitis pain diagnosed by previous doctors, but the history regarding this was inappropriate and semed to be manipulative. There were no previous records suggesting this diagnosis. The probable diagnosis is:",Hypochondriasis,Somatization disorder,Conversion disorder,Factitious disorder,4
fc555aa2-c755-4ce3-9bf9-ee8a73af9ad1,Which type of memory is relatively unaffected in delirium?,Recent memory,Remote memory,Immediate memory,None of the above,2
4a9c0183-0ee6-4f2b-a371-49c202b3f8dc,"A man taking 20 cigarettes per day, staed coughing, his family suggested quitting cigarettes. He is ready to quit but thinks that quitting will make him irritable, the best health planning model followed is aEUR'",Cost and survival,Persuasion,Precontemplation and preparation,Precontemplation and preparation,3
5358cc5c-64d2-4f7f-8fa4-266a5170a85d,"A 9 yr old child is found to be restless. He is hyperactive and his teacher complains that he does not listen to teaching in the class, disturbs other students and also shows less interest in playing. The likely diagnosis is:",Cerebral palsy,Attention deficit hyperkinetic child,Delirium,Mania,2
82398f4b-370c-4987-ac94-dd67beace682,Scatologia is?,Eating disorder,Sleep disorder,Paraphilia,Defense mechanism,3
