id,topic,type,question,option1,option2,option3,option4,correct_option,correct_option_number,difficulty,response
22669815,Anxiety,Diagnostic,What psychosocial factor is associated with negative health and well-being outcomes among coastguards?,Combined negative effects of stress,Effort-Reward Imbalance,High levels of physical activity,Job Demand-Control Support,Combined negative effects of stress,1,Medium,"ID: 1  
Question: What psychosocial factor is associated with negative health and well-being outcomes among coastguards?  
Difficulty: Medium  

ID: 2  
Question: What behavioral characteristic was noted as increasing among patients with right-lateralised semantic dementia?  
Difficulty: Medium  

ID: 3  
Question: What psychological condition was most frequently reported as a reason for poor adherence to antiretroviral medication among HIV/AIDS patients?  
Difficulty: Easy  

ID: 4  
Question: What underlying factors may contribute to an increased risk of depression in children with hypertension associated with obesity?  
Difficulty: Medium  

ID: 5  
Question: What factor was identified as correlated with the presence of clinical depression in patients with Parkinson's disease during the COVID-19 pandemic?  
Difficulty: Medium  

ID: 6  
Question: Which analgesic showed a significant improvement in pain relief after cesarean section compared to the other?  
Difficulty: Easy  

ID: 7  
Question: What epigenetic change is associated with traumatic stress in relation to hippocampal Bdnf gene expression?  
Difficulty: Hard  

ID: 8  
Question: What structural brain abnormalities have been identified in Doberman pinschers with canine compulsive disorder that parallel findings in humans with OCD?  
Difficulty: Medium  

ID: 9  
Question: How do postpubertal housing conditions affect anxiety-like behaviors in female mandarin voles?  
Difficulty: Medium  

ID: 10  
Question: How does social anxiety affect recognition memory for threatening words compared to individuals with low social anxiety?  
Difficulty: Hard  "
25511791,Obsessive/Compulsive Disorders,Diagnostic,What behavioral characteristic was noted as increasing among patients with right-lateralised semantic dementia?,Impulsivity,Social withdrawal,Obsessive personality traits,Mood instability,Obsessive personality traits,3,Medium,"ID: 1  
Question: What psychosocial factor is associated with negative health and well-being outcomes among coastguards?  
Difficulty: Medium  

ID: 2  
Question: What behavioral characteristic was noted as increasing among patients with right-lateralised semantic dementia?  
Difficulty: Medium  

ID: 3  
Question: What psychological condition was most frequently reported as a reason for poor adherence to antiretroviral medication among HIV/AIDS patients?  
Difficulty: Easy  

ID: 4  
Question: What underlying factors may contribute to an increased risk of depression in children with hypertension associated with obesity?  
Difficulty: Medium  

ID: 5  
Question: What factor was identified as correlated with the presence of clinical depression in patients with Parkinson's disease during the COVID-19 pandemic?  
Difficulty: Medium  

ID: 6  
Question: Which analgesic showed a significant improvement in pain relief after cesarean section compared to the other?  
Difficulty: Easy  

ID: 7  
Question: What epigenetic change is associated with traumatic stress in relation to hippocampal Bdnf gene expression?  
Difficulty: Hard  

ID: 8  
Question: What structural brain abnormalities have been identified in Doberman pinschers with canine compulsive disorder that parallel findings in humans with OCD?  
Difficulty: Medium  

ID: 9  
Question: How do postpubertal housing conditions affect anxiety-like behaviors in female mandarin voles?  
Difficulty: Medium  

ID: 10  
Question: How does social anxiety affect recognition memory for threatening words compared to individuals with low social anxiety?  
Difficulty: Hard  "
28535397,Anxiety,Diagnostic,What psychological condition was most frequently reported as a reason for poor adherence to antiretroviral medication among HIV/AIDS patients?,Schizophrenia,Anxiety,Post-Traumatic Stress Disorder,Bipolar Disorder,Anxiety,2,Easy,"ID: 1  
Question: What psychosocial factor is associated with negative health and well-being outcomes among coastguards?  
Difficulty: Medium  

ID: 2  
Question: What behavioral characteristic was noted as increasing among patients with right-lateralised semantic dementia?  
Difficulty: Medium  

ID: 3  
Question: What psychological condition was most frequently reported as a reason for poor adherence to antiretroviral medication among HIV/AIDS patients?  
Difficulty: Easy  

ID: 4  
Question: What underlying factors may contribute to an increased risk of depression in children with hypertension associated with obesity?  
Difficulty: Medium  

ID: 5  
Question: What factor was identified as correlated with the presence of clinical depression in patients with Parkinson's disease during the COVID-19 pandemic?  
Difficulty: Medium  

ID: 6  
Question: Which analgesic showed a significant improvement in pain relief after cesarean section compared to the other?  
Difficulty: Easy  

ID: 7  
Question: What epigenetic change is associated with traumatic stress in relation to hippocampal Bdnf gene expression?  
Difficulty: Hard  

ID: 8  
Question: What structural brain abnormalities have been identified in Doberman pinschers with canine compulsive disorder that parallel findings in humans with OCD?  
Difficulty: Medium  

ID: 9  
Question: How do postpubertal housing conditions affect anxiety-like behaviors in female mandarin voles?  
Difficulty: Medium  

ID: 10  
Question: How does social anxiety affect recognition memory for threatening words compared to individuals with low social anxiety?  
Difficulty: Hard  "
22672088,Depression,Diagnostic,What underlying factors may contribute to an increased risk of depression in children with hypertension associated with obesity?,Hormonal changes,Suboptimal sleep,Peer influences,Neurocognitive deficits,Neurocognitive deficits,4,Medium,"ID: 1  
Question: What psychosocial factor is associated with negative health and well-being outcomes among coastguards?  
Difficulty: Medium  

ID: 2  
Question: What behavioral characteristic was noted as increasing among patients with right-lateralised semantic dementia?  
Difficulty: Medium  

ID: 3  
Question: What psychological condition was most frequently reported as a reason for poor adherence to antiretroviral medication among HIV/AIDS patients?  
Difficulty: Easy  

ID: 4  
Question: What underlying factors may contribute to an increased risk of depression in children with hypertension associated with obesity?  
Difficulty: Medium  

ID: 5  
Question: What factor was identified as correlated with the presence of clinical depression in patients with Parkinson's disease during the COVID-19 pandemic?  
Difficulty: Medium  

ID: 6  
Question: Which analgesic showed a significant improvement in pain relief after cesarean section compared to the other?  
Difficulty: Easy  

ID: 7  
Question: What epigenetic change is associated with traumatic stress in relation to hippocampal Bdnf gene expression?  
Difficulty: Hard  

ID: 8  
Question: What structural brain abnormalities have been identified in Doberman pinschers with canine compulsive disorder that parallel findings in humans with OCD?  
Difficulty: Medium  

ID: 9  
Question: How do postpubertal housing conditions affect anxiety-like behaviors in female mandarin voles?  
Difficulty: Medium  

ID: 10  
Question: How does social anxiety affect recognition memory for threatening words compared to individuals with low social anxiety?  
Difficulty: Hard  "
33481879,Anxiety,Diagnostic,What factor was identified as correlated with the presence of clinical depression in patients with Parkinson's disease during the COVID-19 pandemic?,Severe motor symptoms,Increased age,Higher education level,Female gender,Severe motor symptoms,1,Medium,"ID: 1  
Question: What psychosocial factor is associated with negative health and well-being outcomes among coastguards?  
Difficulty: Medium  

ID: 2  
Question: What behavioral characteristic was noted as increasing among patients with right-lateralised semantic dementia?  
Difficulty: Medium  

ID: 3  
Question: What psychological condition was most frequently reported as a reason for poor adherence to antiretroviral medication among HIV/AIDS patients?  
Difficulty: Easy  

ID: 4  
Question: What underlying factors may contribute to an increased risk of depression in children with hypertension associated with obesity?  
Difficulty: Medium  

ID: 5  
Question: What factor was identified as correlated with the presence of clinical depression in patients with Parkinson's disease during the COVID-19 pandemic?  
Difficulty: Medium  

ID: 6  
Question: Which analgesic showed a significant improvement in pain relief after cesarean section compared to the other?  
Difficulty: Easy  

ID: 7  
Question: What epigenetic change is associated with traumatic stress in relation to hippocampal Bdnf gene expression?  
Difficulty: Hard  

ID: 8  
Question: What structural brain abnormalities have been identified in Doberman pinschers with canine compulsive disorder that parallel findings in humans with OCD?  
Difficulty: Medium  

ID: 9  
Question: How do postpubertal housing conditions affect anxiety-like behaviors in female mandarin voles?  
Difficulty: Medium  

ID: 10  
Question: How does social anxiety affect recognition memory for threatening words compared to individuals with low social anxiety?  
Difficulty: Hard  "
28533571,Depression,Diagnostic,Which analgesic showed a significant improvement in pain relief after cesarean section compared to the other?,acetaminophen,ibuprofen,Bupivacaine,tramadol,Bupivacaine,3,Easy,"ID: 1  
Question: What psychosocial factor is associated with negative health and well-being outcomes among coastguards?  
Difficulty: Medium  

ID: 2  
Question: What behavioral characteristic was noted as increasing among patients with right-lateralised semantic dementia?  
Difficulty: Medium  

ID: 3  
Question: What psychological condition was most frequently reported as a reason for poor adherence to antiretroviral medication among HIV/AIDS patients?  
Difficulty: Easy  

ID: 4  
Question: What underlying factors may contribute to an increased risk of depression in children with hypertension associated with obesity?  
Difficulty: Medium  

ID: 5  
Question: What factor was identified as correlated with the presence of clinical depression in patients with Parkinson's disease during the COVID-19 pandemic?  
Difficulty: Medium  

ID: 6  
Question: Which analgesic showed a significant improvement in pain relief after cesarean section compared to the other?  
Difficulty: Easy  

ID: 7  
Question: What epigenetic change is associated with traumatic stress in relation to hippocampal Bdnf gene expression?  
Difficulty: Hard  

ID: 8  
Question: What structural brain abnormalities have been identified in Doberman pinschers with canine compulsive disorder that parallel findings in humans with OCD?  
Difficulty: Medium  

ID: 9  
Question: How do postpubertal housing conditions affect anxiety-like behaviors in female mandarin voles?  
Difficulty: Medium  

ID: 10  
Question: How does social anxiety affect recognition memory for threatening words compared to individuals with low social anxiety?  
Difficulty: Hard  "
21306736,Trauma,Diagnostic,What epigenetic change is associated with traumatic stress in relation to hippocampal Bdnf gene expression?,Increased Bdnf mRNA levels,Increased Bdnf DNA methylation,Decreased Bdnf DNA methylation,No change in Bdnf expression,Increased Bdnf DNA methylation,2,Hard,"ID: 1  
Question: What psychosocial factor is associated with negative health and well-being outcomes among coastguards?  
Difficulty: Medium  

ID: 2  
Question: What behavioral characteristic was noted as increasing among patients with right-lateralised semantic dementia?  
Difficulty: Medium  

ID: 3  
Question: What psychological condition was most frequently reported as a reason for poor adherence to antiretroviral medication among HIV/AIDS patients?  
Difficulty: Easy  

ID: 4  
Question: What underlying factors may contribute to an increased risk of depression in children with hypertension associated with obesity?  
Difficulty: Medium  

ID: 5  
Question: What factor was identified as correlated with the presence of clinical depression in patients with Parkinson's disease during the COVID-19 pandemic?  
Difficulty: Medium  

ID: 6  
Question: Which analgesic showed a significant improvement in pain relief after cesarean section compared to the other?  
Difficulty: Easy  

ID: 7  
Question: What epigenetic change is associated with traumatic stress in relation to hippocampal Bdnf gene expression?  
Difficulty: Hard  

ID: 8  
Question: What structural brain abnormalities have been identified in Doberman pinschers with canine compulsive disorder that parallel findings in humans with OCD?  
Difficulty: Medium  

ID: 9  
Question: How do postpubertal housing conditions affect anxiety-like behaviors in female mandarin voles?  
Difficulty: Medium  

ID: 10  
Question: How does social anxiety affect recognition memory for threatening words compared to individuals with low social anxiety?  
Difficulty: Hard  "
23590875,Obsessive/Compulsive Disorders,Diagnostic,What structural brain abnormalities have been identified in Doberman pinschers with canine compulsive disorder that parallel findings in humans with OCD?,Increased hippocampal size,Diminished gray matter overall,Higher total brain volume,Lower frontal cortex density,Higher total brain volume,3,Medium,"ID: 1  
Question: What psychosocial factor is associated with negative health and well-being outcomes among coastguards?  
Difficulty: Medium  

ID: 2  
Question: What behavioral characteristic was noted as increasing among patients with right-lateralised semantic dementia?  
Difficulty: Medium  

ID: 3  
Question: What psychological condition was most frequently reported as a reason for poor adherence to antiretroviral medication among HIV/AIDS patients?  
Difficulty: Easy  

ID: 4  
Question: What underlying factors may contribute to an increased risk of depression in children with hypertension associated with obesity?  
Difficulty: Medium  

ID: 5  
Question: What factor was identified as correlated with the presence of clinical depression in patients with Parkinson's disease during the COVID-19 pandemic?  
Difficulty: Medium  

ID: 6  
Question: Which analgesic showed a significant improvement in pain relief after cesarean section compared to the other?  
Difficulty: Easy  

ID: 7  
Question: What epigenetic change is associated with traumatic stress in relation to hippocampal Bdnf gene expression?  
Difficulty: Hard  

ID: 8  
Question: What structural brain abnormalities have been identified in Doberman pinschers with canine compulsive disorder that parallel findings in humans with OCD?  
Difficulty: Medium  

ID: 9  
Question: How do postpubertal housing conditions affect anxiety-like behaviors in female mandarin voles?  
Difficulty: Medium  

ID: 10  
Question: How does social anxiety affect recognition memory for threatening words compared to individuals with low social anxiety?  
Difficulty: Hard  "
22914076,Anxiety,Diagnostic,How do postpubertal housing conditions affect anxiety-like behaviors in female mandarin voles?,Reduce aggression,Improve social interactions,Increase anxiety levels,Decrease locomotion,Increase anxiety levels,3,Medium,"ID: 1  
Question: What psychosocial factor is associated with negative health and well-being outcomes among coastguards?  
Difficulty: Medium  

ID: 2  
Question: What behavioral characteristic was noted as increasing among patients with right-lateralised semantic dementia?  
Difficulty: Medium  

ID: 3  
Question: What psychological condition was most frequently reported as a reason for poor adherence to antiretroviral medication among HIV/AIDS patients?  
Difficulty: Easy  

ID: 4  
Question: What underlying factors may contribute to an increased risk of depression in children with hypertension associated with obesity?  
Difficulty: Medium  

ID: 5  
Question: What factor was identified as correlated with the presence of clinical depression in patients with Parkinson's disease during the COVID-19 pandemic?  
Difficulty: Medium  

ID: 6  
Question: Which analgesic showed a significant improvement in pain relief after cesarean section compared to the other?  
Difficulty: Easy  

ID: 7  
Question: What epigenetic change is associated with traumatic stress in relation to hippocampal Bdnf gene expression?  
Difficulty: Hard  

ID: 8  
Question: What structural brain abnormalities have been identified in Doberman pinschers with canine compulsive disorder that parallel findings in humans with OCD?  
Difficulty: Medium  

ID: 9  
Question: How do postpubertal housing conditions affect anxiety-like behaviors in female mandarin voles?  
Difficulty: Medium  

ID: 10  
Question: How does social anxiety affect recognition memory for threatening words compared to individuals with low social anxiety?  
Difficulty: Hard  "
36007769,Anxiety,Diagnostic,How does social anxiety affect recognition memory for threatening words compared to individuals with low social anxiety?,Improved recognition,Enhanced recognition,No effect,Impaired recognition,Impaired recognition,4,Hard,"ID: 1  
Question: What psychosocial factor is associated with negative health and well-being outcomes among coastguards?  
Difficulty: Medium  

ID: 2  
Question: What behavioral characteristic was noted as increasing among patients with right-lateralised semantic dementia?  
Difficulty: Medium  

ID: 3  
Question: What psychological condition was most frequently reported as a reason for poor adherence to antiretroviral medication among HIV/AIDS patients?  
Difficulty: Easy  

ID: 4  
Question: What underlying factors may contribute to an increased risk of depression in children with hypertension associated with obesity?  
Difficulty: Medium  

ID: 5  
Question: What factor was identified as correlated with the presence of clinical depression in patients with Parkinson's disease during the COVID-19 pandemic?  
Difficulty: Medium  

ID: 6  
Question: Which analgesic showed a significant improvement in pain relief after cesarean section compared to the other?  
Difficulty: Easy  

ID: 7  
Question: What epigenetic change is associated with traumatic stress in relation to hippocampal Bdnf gene expression?  
Difficulty: Hard  

ID: 8  
Question: What structural brain abnormalities have been identified in Doberman pinschers with canine compulsive disorder that parallel findings in humans with OCD?  
Difficulty: Medium  

ID: 9  
Question: How do postpubertal housing conditions affect anxiety-like behaviors in female mandarin voles?  
Difficulty: Medium  

ID: 10  
Question: How does social anxiety affect recognition memory for threatening words compared to individuals with low social anxiety?  
Difficulty: Hard  "
